WordForm,WF_PoS,length
神经细胞,22,4
空头支票,22,4
繁文缛节,22,4
纨绔子弟,22,4
虚情假意,22,4
规章制度,22,4
说不过去,22,4
不欢而散,21,4
亡命之徒,21,4
大汗淋漓,21,4
天壤之别,21,4
欢声笑语,21,4
神清气爽,21,4
所见所闻,21,4
数一数二,21,4
权宜之计,21,4
一门心思,20,4
中枢神经,20,4
体无完肤,20,4
千钧一发,20,4
头破血流,20,4
呼风唤雨,20,4
循环系统,20,4
风风雨雨,20,4
平心静气,20,4
得意洋洋,20,4
惨无人道,20,4
意识形态,20,4
慷慨大方,20,4
漏洞百出,20,4
男女老少,20,4
美轮美奂,20,4
跌宕起伏,20,4
不着边际,19,4
前无古人,19,4
十有八九,19,4
大张旗鼓,19,4
男男女女,19,4
闲言碎语,19,4
鼻青脸肿,19,4
左膀右臂,19,4
逍遥自在,19,4
不毛之地,18,4
十四行诗,18,4
原汁原味,18,4
多种多样,18,4
奇耻大辱,18,4
消化系统,18,4
满城风雨,18,4
生老病死,18,4
拼死拼活,18,4
无微不至,18,4
杂乱无章,18,4
泪流满面,18,4
灰心丧气,18,4
轰轰烈烈,18,4
量子力学,18,4
一五一十,17,4
两败俱伤,17,4
冰天雪地,17,4
冷血动物,17,4
如此一来,17,4
如饥似渴,17,4
污言秽语,17,4
没精打采,17,4
真情实感,17,4
异乎寻常,17,4
恶性肿瘤,17,4
成群结队,17,4
武装力量,17,4
沸沸扬扬,17,4
活灵活现,17,4
浮游生物,17,4
热泪盈眶,17,4
痛哭流涕,17,4
统一战线,17,4
自我陶醉,17,4
诚心诚意,17,4
一往无前,16,4
中流砥柱,16,4
人心惶惶,16,4
像模像样,16,4
刑事犯罪,16,4
处心积虑,16,4
原原本本,16,4
风言风语,16,4
捧腹大笑,16,4
永无宁日,16,4
火冒三丈,16,4
灭顶之灾,16,4
眼冒金星,16,4
社会关系,16,4
组成部分,16,4
自然资源,16,4
这样一来,16,4
遍体鳞伤,16,4
长期以来,16,4
风云人物,16,4
一怒之下,15,4
五体投地,15,4
分子结构,15,4
前车之鉴,15,4
声嘶力竭,15,4
