 serial number,character,ferquency(pre million)
3516,寐,5.38054 
3517,肾,5.37949 
3518,鸯,5.35420 
3519,這,5.35315 
3520,敝,5.34735 
3521,涧,5.33682 
3522,崆,5.32839 
3523,甭,5.32628 
3524,笠,5.31206 
3525,扈,5.30626 
3526,哝,5.29099 
3527,芮,5.28730 
3528,卉,5.28361 
3529,靳,5.27308 
3530,诬,5.26517 
3531,札,5.26412 
3532,婊,5.26307 
3533,裘,5.26307 
3534,扉,5.25569 
3535,疮,5.25095 
3536,巅,5.25042 
3537,坞,5.23831 
3538,膳,5.22198 
3539,剌,5.22092 
3540,鳄,5.21039 
3541,捺,5.20512 
3542,悼,5.20459 
3543,茧,5.19459 
3544,毋,5.19090 
3545,曙,5.18616 
3546,馅,5.18616 
3547,簸,5.18194 
3548,忒,5.17984 
3549,妳,5.16245 
3550,叟,5.16087 
3551,拴,5.15718 
3552,嬷,5.13980 
3553,稣,5.13927 
3554,痹,5.13506 
3555,垣,5.13243 
3556,蛤,5.12821 
3557,谏,5.12294 
3558,羹,5.12031 
3559,沥,5.11820 
3560,蛾,5.10661 
3561,瑚,5.09977 
3562,個,5.09028 
3563,熔,5.08923 
3564,惆,5.08238 
3565,雏,5.08238 
3566,饷,5.08080 
3567,拗,5.05341 
3568,燎,5.05025 
3569,熠,5.04603 
3570,薰,5.04340 
3571,蕃,5.04129 
3572,捋,5.04024 
3573,籁,5.03813 
3574,髦,5.02075 
3575,飓,4.99757 
3576,簿,4.99441 
3577,迢,4.97650 
3578,汩,4.97334 
3579,闸,4.97176 
3580,狩,4.96333 
3581,鲨,4.96017 
3582,蜥,4.95701 
3583,惴,4.95332 
3584,胯,4.95016 
3585,侨,4.93857 
3586,劭,4.93541 
3587,烹,4.93436 
3588,咣,4.92593 
3589,攸,4.92171 
3590,锄,4.91908 
3591,硝,4.91012 
3592,颔,4.90275 
3593,鸥,4.88642 
3594,滕,4.87483 
3595,寰,4.86851 
3596,紊,4.86535 
3597,蕉,4.85850 
3598,稠,4.85481 
3599,蟆,4.84902 
3600,垢,4.83321 
3601,楷,4.82795 
3602,炊,4.82215 
3603,忻,4.82057 
3604,炳,4.81109 
3605,腆,4.81056 
3606,褒,4.80951 
3607,酋,4.80846 
3608,赃,4.80740 
3609,拈,4.79687 
3610,抒,4.79634 
3611,孰,4.79265 
3612,袄,4.79160 
3613,褂,4.79107 
3614,孺,4.79002 
3615,胭,4.78738 
3616,赘,4.78528 
3617,嫡,4.78422 
3618,礁,4.78422 
3619,珉,4.78264 
3620,啜,4.77105 
3621,钳,4.76157 
3622,晾,4.74735 
3623,茎,4.74472 
3624,隧,4.74261 
3625,窿,4.74208 
3626,骋,4.72891 
3627,嫦,4.72575 
3628,槛,4.72522 
3629,掳,4.72522 
3630,莞,4.72470 
3631,瓢,4.72364 
3632,曜,4.72154 
3633,锯,4.71627 
3634,猖,4.71363 
3635,遐,4.71153 
3636,蹋,4.70942 
3637,飕,4.70415 
3638,麾,4.69783 
3639,渍,4.69783 
3640,猥,4.68730 
3641,篝,4.68624 
3642,殉,4.67676 
3643,枷,4.67623 
3644,蜒,4.67623 
3645,皎,4.67202 
3646,霁,4.65780 
3647,诩,4.65306 
3648,窖,4.65200 
3649,咫,4.64884 
3650,檬,4.64515 
3651,乒,4.63725 
3652,奚,4.63567 
3653,淤,4.63251 
3654,溯,4.59616 
3655,凋,4.59248 
3656,纺,4.59248 
3657,篱,4.59142 
3658,泌,4.58036 
3659,刨,4.57825 
3660,樵,4.57720 
3661,忏,4.57615 
3662,盎,4.57140 
3663,戾,4.57088 
3664,咀,4.56561 
3665,屹,4.55349 
3666,挎,4.54559 
3667,羔,4.54190 
3668,殃,4.53611 
3669,庚,4.53400 
3670,淼,4.52663 
3671,淀,4.52505 
3672,隘,4.52399 
3673,绛,4.51873 
3674,缨,4.51662 
3675,焘,4.51188 
3676,璨,4.50450 
3677,跤,4.50187 
3678,锵,4.49449 
3679,摁,4.48659 
3680,痊,4.46605 
3681,嫔,4.46025 
3682,來,4.45604 
3683,臻,4.44761 
3684,泯,4.44340 
3685,糜,4.43707 
3686,睦,4.43128 
3687,喵,4.43023 
3688,缥,4.43023 
3689,褥,4.42180 
3690,魇,4.41811 
3691,汶,4.41442 
3692,馋,4.41390 
3693,渎,4.41337 
3694,蜿,4.41232 
3695,抠,4.41179 
3696,诶,4.40441 
3697,墩,4.40336 
3698,棣,4.38756 
3699,沓,4.38387 
3700,喏,4.38282 
3701,诲,4.37702 
3702,琶,4.37650 
3703,缈,4.35911 
3704,缔,4.35806 
3705,酝,4.35384 
3706,耷,4.34910 
3707,弼,4.34542 
3708,柬,4.33962 
3709,浏,4.33751 
3710,拷,4.33225 
3711,剁,4.33119 
3712,柿,4.32487 
3713,琵,4.31960 
3714,沂,4.30591 
3715,蕙,4.30538 
3716,捻,4.29432 
3717,帛,4.28747 
3718,柠,4.28062 
3719,饵,4.28009 
3720,撂,4.27061 
3721,娓,4.26956 
3722,乓,4.26587 
3723,轲,4.25639 
3724,髯,4.25481 
3725,娉,4.24954 
3726,圭,4.24164 
3727,璀,4.23795 
3728,苔,4.23795 
3729,肪,4.23321 
3730,吮,4.23110 
3731,瞩,4.22900 
3732,啄,4.22794 
3733,帷,4.21793 
3734,箍,4.21477 
3735,蟑,4.21319 
3736,炖,4.20476 
3737,梗,4.20371 
3738,捎,4.19107 
3739,瞿,4.18896 
3740,嗬,4.18685 
3741,蘑,4.18475 
3742,唏,4.17474 
3743,鹊,4.16420 
3744,矶,4.16210 
3745,羌,4.16157 
3746,骼,4.15841 
3747,筛,4.15261 
3748,鲤,4.13470 
3749,羲,4.13365 
3750,祺,4.13049 
3751,馈,4.12943 
3752,伫,4.12733 
3753,羿,4.12680 
3754,苞,4.12311 
3755,犁,4.12101 
3756,铎,4.11890 
3757,啬,4.11627 
3758,舷,4.11363 
3759,矗,4.11310 
3760,癖,4.10784 
3761,掣,4.10731 
3762,匾,4.09941 
3763,谧,4.09888 
3764,瀛,4.09888 
3765,珞,4.09783 
3766,衲,4.09730 
3767,毓,4.09730 
3768,恺,4.08150 
3769,纬,4.06411 
3770,惰,4.03988 
3771,嘤,4.03619 
3772,诣,4.02882 
3773,谛,4.02408 
3774,藻,4.00986 
3775,啷,4.00511 
3776,佘,3.99511 
3777,黠,3.97245 
3778,饲,3.96087 
3779,虬,3.96034 
3780,涤,3.95612 
3781,骡,3.95560 
3782,钵,3.94770 
3783,邯,3.94401 
3784,笋,3.93611 
3785,瑀,3.93505 
3786,芥,3.93400 
3787,醺,3.93400 
3788,佼,3.92979 
3789,舜,3.92979 
3790,龌,3.92504 
3791,簪,3.92346 
3792,痰,3.92188 
3793,蹂,3.91925 
3794,恻,3.91872 
3795,簧,3.91398 
3796,甥,3.91240 
3797,腼,3.89607 
3798,驮,3.88079 
3799,缤,3.87974 
3800,潺,3.87869 
3801,獠,3.87500 
3802,筏,3.87131 
3803,锭,3.86710 
3804,阙,3.86394 
3805,粤,3.85288 
3806,瞌,3.85129 
3807,髻,3.84919 
3808,琏,3.84919 
3809,龊,3.84287 
3810,椎,3.83128 
3811,唆,3.82917 
3812,煦,3.82706 
3813,嵋,3.82496 
3814,幡,3.82232 
3815,翌,3.81547 
3816,毡,3.80441 
3817,碳,3.79019 
3818,鸨,3.77860 
3819,闽,3.77649 
3820,躏,3.77491 
3821,蜓,3.76596 
3822,咻,3.76543 
3823,捍,3.75858 
3824,睨,3.75647 
3825,鼾,3.75595 
3826,桔,3.75489 
3827,娆,3.73962 
3828,抉,3.73540 
3829,玟,3.73382 
3830,蜻,3.73382 
3831,徨,3.73014 
3832,嗲,3.72065 
3833,碾,3.71802 
3834,哐,3.71380 
3835,粼,3.71328 
3836,啐,3.71064 
3837,谑,3.70380 
3838,嚏,3.69642 
3839,甬,3.69221 
3840,鳖,3.68694 
3841,榨,3.68431 
3842,倜,3.67640 
3843,稷,3.66481 
3844,妤,3.64690 
3845,篡,3.64638 
3846,晤,3.64480 
3847,肇,3.63479 
3848,咂,3.63426 
3849,帚,3.63163 
3850,瘤,3.63057 
3851,瞠,3.62109 
3852,嚅,3.61635 
3853,怆,3.61477 
3854,镔,3.61319 
3855,撵,3.61214 
3856,裆,3.60213 
3857,腺,3.59949 
3858,骁,3.59844 
3859,坷,3.59686 
3860,箐,3.59686 
3861,螃,3.59423 
3862,冢,3.58843 
3863,锢,3.58474 
3864,晁,3.58422 
3865,濒,3.58053 
3866,蝗,3.56631 
3867,烽,3.55840 
3868,辘,3.55208 
3869,莘,3.55208 
3870,撬,3.55050 
3871,澹,3.54840 
3872,瓮,3.54682 
3873,亘,3.54313 
3874,钊,3.54260 
3875,篓,3.54155 
3876,缇,3.54049 
3877,宸,3.53786 
3878,泓,3.53786 
3879,鞑,3.53101 
3880,胄,3.53101 
3881,羚,3.52206 
3882,绥,3.51784 
3883,笺,3.50941 
3884,荤,3.50731 
3885,迄,3.48518 
3886,踞,3.48307 
3887,桨,3.48097 
3888,慵,3.46411 
3889,噤,3.46358 
3890,幌,3.45884 
3891,荻,3.45726 
3892,跚,3.45358 
3893,袒,3.44883 
3894,浣,3.44199 
3895,榄,3.43566 
3896,痪,3.43408 
3897,荼,3.43092 
3898,晗,3.41933 
3899,阉,3.41828 
3900,腋,3.41723 
3901,骰,3.40300 
3902,曝,3.40142 
3903,涮,3.39984 
3904,踵,3.39826 
3905,炬,3.39668 
3906,涣,3.39510 
3907,俟,3.38983 
3908,皑,3.38404 
3909,瞑,3.37403 
3910,渲,3.37140 
3911,擞,3.36508 
3912,赂,3.36086 
3913,湮,3.35770 
3914,麓,3.35296 
3915,铿,3.34453 
3916,埔,3.33979 
3917,峦,3.33768 
3918,噘,3.33610 
3919,涓,3.33505 
3920,掬,3.33400 
3921,莓,3.33084 
3922,怏,3.33084 
3923,萃,3.32820 
3924,呲,3.32346 
3925,蹒,3.32135 
3926,鳌,3.31292 
3927,睐,3.30924 
3928,昱,3.30450 
3929,旌,3.29291 
3930,摞,3.29238 
3931,們,3.28922 
3932,吠,3.28817 
3933,濮,3.28079 
3934,卞,3.26657 
3935,琬,3.25814 
3936,谙,3.25234 
3937,啕,3.24076 
3938,轶,3.23970 
3939,搪,3.23601 
3940,陇,3.23496 
3941,纨,3.23338 
3942,膺,3.23127 
3943,皋,3.22969 
3944,霭,3.22548 
3945,呓,3.20599 
3946,橄,3.20546 
3947,纶,3.19282 
3948,垛,3.18808 
3949,嗫,3.18650 
3950,盅,3.18544 
3951,拄,3.18386 
3952,踝,3.18123 
3953,臧,3.17385 
3954,淅,3.17280 
3955,岌,3.17017 
3956,岱,3.16859 
3957,璞,3.16806 
3958,缄,3.16753 
3959,秧,3.14330 
3960,翱,3.13171 
3961,卤,3.13066 
3962,逅,3.12802 
3963,靥,3.12802 
3964,磐,3.11644 
3965,壑,3.11538 
3966,斓,3.11380 
3967,翊,3.10748 
3968,挛,3.10485 
3969,琰,3.10063 
3970,叁,3.09905 
3971,佗,3.09484 
3972,阖,3.08852 
3973,戬,3.08272 
3974,怂,3.08272 
3975,汲,3.08114 
3976,垠,3.07640 
3977,迥,3.07271 
3978,咛,3.06639 
3979,邂,3.06639 
3980,杞,3.05902 
3981,痘,3.05375 
3982,臊,3.05269 
3983,藕,3.04690 
3984,湄,3.04163 
3985,媲,3.04163 
3986,癞,3.04111 
3987,辄,3.03742 
3988,獒,3.03215 
3989,恪,3.02952 
3990,砾,3.02741 
3991,痉,3.02530 
3992,吒,3.02530 
3993,蜕,3.02478 
3994,椰,3.02320 
3995,仨,3.01266 
3996,纣,3.00792 
3997,馁,3.00265 
3998,镐,3.00054 
3999,蜈,3.00054 
4000,窈,2.99896 
4001,說,2.99580 
4002,秤,2.99317 
4003,桢,2.99264 
4004,粱,2.98843 
4005,辐,2.98579 
4006,悖,2.98474 
4007,涔,2.98421 
4008,偕,2.97631 
4009,渭,2.97526 
4010,汴,2.96894 
4011,蜴,2.96472 
4012,桅,2.95577 
4013,隅,2.95419 
4014,卯,2.94312 
4015,骜,2.94207 
4016,孚,2.93628 
4017,禺,2.93154 
4018,琥,2.92996 
4019,阚,2.92785 
4020,杵,2.92679 
4021,掖,2.92521 
4022,畸,2.92100 
4023,晔,2.91837 
4024,婀,2.91415 
4025,菡,2.90362 
4026,噶,2.90309 
4027,昙,2.90046 
4028,坍,2.89993 
4029,俑,2.89571 
4030,滤,2.89150 
4031,侏,2.88939 
4032,潦,2.88834 
4033,挲,2.88413 
4034,覃,2.88360 
4035,硫,2.88202 
4036,俸,2.88096 
4037,蟠,2.87833 
4038,弋,2.87622 
4039,梆,2.86674 
4040,驸,2.86674 
4041,馀,2.86042 
4042,笈,2.85937 
4043,忱,2.85779 
4044,恿,2.84778 
4045,胥,2.83197 
4046,垦,2.82249 
4047,滢,2.82144 
4048,窕,2.81880 
4049,滇,2.81670 
4050,珅,2.81564 
4051,邬,2.81564 
4052,圃,2.81248 
4053,咿,2.81196 
4054,徙,2.80827 
4055,瘴,2.80827 
4056,舫,2.80458 
4057,嗝,2.80300 
4058,泞,2.79931 
4059,藐,2.79615 
4060,赣,2.79457 
4061,鹦,2.78614 
4062,逵,2.77772 
4063,戍,2.77719 
4064,榭,2.77614 
4065,牠,2.76613 
4066,揩,2.76191 
4067,熹,2.76139 
4068,蟾,2.75822 
4069,霾,2.75296 
4070,蔫,2.75190 
4071,跛,2.74664 
4072,岐,2.74295 
4073,脐,2.73926 
4074,糗,2.73768 
4075,螳,2.73663 
4076,哺,2.73557 
4077,鹭,2.72872 
4078,蚣,2.72188 
4079,炀,2.71661 
4080,嵬,2.70976 
4081,褶,2.70818 
4082,恸,2.69764 
4083,隽,2.69132 
4084,飚,2.68448 
4085,玥,2.68342 
4086,籽,2.68026 
4087,釜,2.67657 
4088,剐,2.66920 
4089,鸠,2.66867 
4090,磷,2.66446 
4091,沒,2.66393 
4092,娑,2.66340 
4093,谄,2.65919 
4094,巳,2.65919 
4095,恣,2.64971 
4096,猬,2.64707 
4097,酪,2.64549 
4098,溟,2.64444 
4099,丕,2.64444 
4100,隼,2.64339 
4101,峒,2.62916 
4102,芋,2.62916 
4103,觊,2.62706 
4104,旖,2.62337 
4105,筵,2.61810 
4106,娣,2.61494 
4107,婠,2.61073 
4108,盹,2.60493 
4109,涸,2.60440 
4110,劾,2.60282 
4111,颌,2.60282 
4112,趔,2.59598 
4113,殇,2.59440 
4114,噌,2.59387 
4115,轧,2.59123 
4116,沽,2.58807 
4117,愫,2.58544 
4118,鸢,2.58491 
4119,龇,2.57965 
4120,玷,2.57807 
4121,掸,2.56542 
4122,趄,2.56332 
4123,溥,2.55910 
4124,疵,2.55857 
4125,皖,2.55699 
4126,邺,2.55489 
4127,杳,2.54593 
4128,聿,2.54488 
4129,镀,2.53961 
4130,祎,2.52855 
4131,鹉,2.52591 
4132,匍,2.52381 
4133,崴,2.52328 
4134,岖,2.51907 
4135,幔,2.51591 
4136,蝈,2.50800 
4137,雒,2.50379 
4138,镑,2.50063 
4139,臆,2.49431 
4140,偃,2.49167 
4141,蜗,2.48957 
4142,瞰,2.48483 
4143,侬,2.48377 
4144,郸,2.48324 
4145,搡,2.48324 
4146,缆,2.47903 
4147,袂,2.47218 
4148,楮,2.47060 
4149,麼,2.46902 
4150,诠,2.46902 
4151,洵,2.46586 
4152,犊,2.46481 
4153,摹,2.46375 
4154,蟀,2.45796 
4155,邋,2.45111 
4156,瓒,2.45111 
4157,苻,2.44848 
4158,荦,2.44216 
4159,竣,2.44163 
4160,骥,2.43741 
4161,泗,2.42899 
4162,痣,2.42530 
4163,贲,2.42372 
4164,胴,2.42267 
4165,潼,2.42161 
4166,弑,2.41845 
4167,匐,2.41634 
4168,姣,2.41529 
4169,谤,2.41160 
4170,蘸,2.41055 
4171,蟋,2.40897 
4172,渥,2.40528 
4173,浒,2.40265 
4174,蛐,2.40212 
4175,阂,2.40107 
4176,糯,2.39791 
4177,愠,2.39580 
4178,嵇,2.38790 
4179,谒,2.38316 
4180,绾,2.38158 
4181,舀,2.37947 
4182,呤,2.37473 
4183,噙,2.36788 
4184,槟,2.36472 
4185,嘣,2.36367 
4186,诃,2.36209 
4187,宓,2.35629 
4188,脓,2.35576 
4189,樟,2.35366 
4190,忪,2.35208 
4191,蛰,2.35102 
4192,咤,2.34049 
4193,捱,2.33838 
4194,阜,2.33733 
4195,峥,2.33575 
4196,濡,2.33469 
4197,遢,2.33311 
4198,瑙,2.33048 
4199,碉,2.31942 
4200,荃,2.30993 
4201,孵,2.30941 
4202,讹,2.30888 
4203,嗵,2.30677 
4204,彝,2.30519 
4205,颀,2.30203 
4206,苓,2.29413 
4207,咝,2.28781 
4208,臾,2.28254 
4209,篆,2.28254 
4210,椭,2.26990 
4211,沏,2.26726 
4212,颦,2.26358 
4213,蛆,2.26305 
4214,淆,2.26147 
4215,揄,2.25989 
4216,嗑,2.25041 
4217,辎,2.24672 
4218,踮,2.24356 
4219,犷,2.23829 
4220,荔,2.23671 
4221,鳅,2.23671 
4222,會,2.23408 
4223,闫,2.23039 
4224,徵,2.22986 
4225,隗,2.22460 
4226,渤,2.22143 
4227,馍,2.22143 
4228,锏,2.20774 
4229,楣,2.20668 
4230,蜃,2.20405 
4231,遛,2.20247 
4232,倌,2.19562 
4233,氤,2.19299 
4234,戌,2.18351 
4235,嶙,2.18193 
4236,馗,2.17771 
4237,匮,2.17508 
4238,揶,2.16876 
4239,胚,2.16033 
4240,啻,2.15453 
4241,敕,2.15295 
4242,夙,2.15243 
4243,珈,2.14769 
4244,锹,2.14769 
4245,跂,2.14242 
4246,摒,2.14189 
4247,迩,2.14084 
4248,啾,2.14031 
4249,峪,2.13926 
4250,靼,2.13820 
4251,菠,2.13662 
4252,蓟,2.13662 
4253,沅,2.13399 
4254,馥,2.13294 
4255,槌,2.13030 
4256,燮,2.13030 
4257,褛,2.12925 
4258,為,2.12925 
4259,贻,2.12819 
4260,礴,2.12767 
4261,豚,2.12767 
4262,氲,2.12187 
4263,湍,2.12082 
4264,腌,2.11766 
4265,蚱,2.11766 
4266,殡,2.11555 
4267,毗,2.09869 
4268,耙,2.09501 
4269,诽,2.09079 
4270,褴,2.08553 
4271,恁,2.08394 
4272,呷,2.08289 
4273,蚌,2.07341 
4274,瘁,2.07341 
4275,铝,2.07236 
4276,蔻,2.06761 
4277,憩,2.05708 
4278,锚,2.05445 
4279,濑,2.03970 
4280,耘,2.03812 
4281,俾,2.03548 
4282,鬃,2.03337 
4283,裟,2.02969 
4284,祢,2.02863 
4285,苒,2.02811 
4286,蘅,2.02758 
4287,鱿,2.02758 
4288,唷,2.02020 
4289,傥,2.01968 
4290,袈,2.01810 
4291,豺,2.01494 
4292,町,2.01441 
4293,掇,2.01230 
4294,坯,2.00967 
4295,阏,2.00809 
4296,戛,2.00598 
4297,贮,1.99492 
4298,塾,1.99281 
4299,剽,1.99018 
4300,孬,1.98544 
4301,衩,1.98491 
4302,镣,1.98070 
4303,戊,1.97912 
4304,犟,1.97859 
4305,酉,1.97648 
4306,夥,1.97437 
4307,斡,1.97016 
4308,過,1.96753 
4309,珩,1.96700 
4310,匝,1.96700 
4311,诘,1.96647 
4312,攫,1.96384 
4313,潢,1.96331 
4314,黔,1.96331 
4315,臃,1.96279 
4316,罂,1.95962 
4317,轼,1.95910 
4318,酗,1.95383 
4319,嘹,1.94856 
4320,時,1.94804 
4321,阪,1.94646 
4322,璎,1.93803 
4323,冗,1.93750 
4324,桧,1.93645 
4325,闳,1.93487 
4326,皿,1.92907 
4327,囡,1.92486 
4328,辍,1.92222 
4329,觎,1.91906 
4330,浚,1.91485 
4331,闰,1.91327 
4332,臼,1.90905 
4333,蹩,1.90695 
4334,煲,1.90537 
4335,怵,1.90484 
4336,囤,1.90326 
4337,罔,1.90326 
4338,蚓,1.90273 
4339,碴,1.89746 
4340,姒,1.89694 
4341,灸,1.88113 
4342,蚯,1.87218 
4343,嗥,1.86902 
4344,堑,1.86691 
4345,箴,1.86638 
4346,谗,1.86533 
4347,嵘,1.86428 
4348,箩,1.86375 
4349,艮,1.85638 
4350,碱,1.85480 
4351,葆,1.85374 
4352,還,1.84900 
4353,旎,1.84637 
4354,谆,1.84637 
4355,粽,1.84531 
4356,牒,1.84479 
4357,泸,1.84321 
4358,蔺,1.84268 
4359,刽,1.84057 
4360,锷,1.82846 
4361,诋,1.82688 
4362,惇,1.82582 
4363,缜,1.82003 
4364,爻,1.81634 
4365,贰,1.81423 
4366,坳,1.81213 
4367,睑,1.81107 
4368,葭,1.81002 
4369,昀,1.80317 
4370,經,1.80054 
4371,噫,1.80054 
4372,妪,1.80054 
4373,镂,1.79527 
4374,癸,1.79369 
4375,沣,1.78895 
4376,笆,1.78263 
4377,壬,1.77999 
4378,绉,1.77894 
4379,抨,1.77578 
4380,箕,1.77314 
4381,叵,1.77314 
4382,坨,1.77051 
4383,颉,1.76946 
4384,姹,1.76472 
4385,赳,1.75892 
4386,琮,1.75418 
4387,焊,1.75102 
4388,淬,1.74997 
4389,纭,1.74997 
4390,埠,1.74839 
4391,泱,1.74681 
4392,恹,1.74154 
4393,淙,1.74048 
4394,榛,1.73574 
4395,酵,1.73311 
4396,銮,1.73100 
4397,孛,1.72468 
4398,嗳,1.72415 
4399,佶,1.72257 
4400,犒,1.71836 
4401,茱,1.71309 
4402,饪,1.70940 
4403,孪,1.70466 
4404,泠,1.70308 
4405,砺,1.69781 
4406,遽,1.69729 
4407,嗟,1.69623 
4408,钙,1.69518 
4409,鲲,1.69097 
4410,谚,1.69097 
4411,闾,1.68833 
4412,谟,1.68623 
4413,馊,1.68465 
4414,翦,1.68306 
4415,雉,1.68306 
4416,虱,1.68096 
4417,糠,1.67780 
4418,锴,1.67464 
4419,赈,1.66937 
4420,骠,1.66884 
4421,旮,1.66884 
4422,峋,1.66831 
4423,跆,1.66515 
4424,飛,1.66463 
4425,瘠,1.66252 
4426,潸,1.66199 
4427,饕,1.66147 
4428,佚,1.65831 
4429,淄,1.65515 
4430,谀,1.65357 
4431,镳,1.65251 
4432,廿,1.64514 
4433,喟,1.64303 
4434,偻,1.64092 
4435,绺,1.63934 
4436,沱,1.63302 
4437,囱,1.63197 
4438,铳,1.63039 
4439,袤,1.62986 
4440,兖,1.62986 
4441,對,1.62301 
4442,栾,1.61616 
4443,畿,1.60984 
4444,诌,1.60984 
4445,赓,1.60826 
4446,苯,1.60405 
4447,佻,1.60247 
4448,繇,1.60141 
4449,魈,1.59720 
4450,屌,1.59404 
4451,谲,1.59351 
4452,泾,1.59088 
4453,獗,1.58930 
4454,鞅,1.58614 
4455,蹶,1.58034 
4456,绔,1.57349 
4457,雹,1.57191 
4458,旯,1.56928 
4459,洱,1.56823 
4460,樣,1.56770 
4461,馄,1.56717 
4462,粲,1.56665 
4463,哂,1.56559 
4464,蔗,1.56454 
4465,饨,1.56349 
4466,奘,1.56296 
4467,芍,1.55980 
4468,淞,1.55874 
4469,腴,1.55716 
4470,現,1.55348 
4471,剜,1.54926 
4472,汾,1.54874 
4473,顼,1.54399 
4474,濂,1.53662 
4475,蜚,1.53557 
4476,殒,1.53135 
4477,麝,1.52503 
4478,鹞,1.52187 
4479,蚤,1.52082 
4480,浃,1.51871 
4481,坂,1.51291 
4482,颚,1.51028 
4483,忤,1.50975 
4484,洙,1.50501 
4485,祗,1.50238 
4486,無,1.50133 
4487,迤,1.49975 
4488,眦,1.49869 
4489,彗,1.49553 
4490,暹,1.49342 
4491,赧,1.49290 
4492,佝,1.49026 
4493,蒯,1.48921 
4494,郦,1.48868 
4495,僮,1.48868 
4496,钺,1.48658 
4497,嘞,1.48500 
4498,硅,1.48078 
4499,玳,1.48025 
4500,蛹,1.48025 
4501,睾,1.47867 
4502,螭,1.47762 
4503,赁,1.47762 
4504,盂,1.47762 
4505,瑁,1.47604 
4506,俅,1.47551 
4507,侗,1.47499 
4508,骛,1.47446 
4509,宕,1.47183 
4510,纂,1.46972 
4511,堰,1.46603 
4512,厩,1.46287 
4513,萋,1.46234 
4514,鄢,1.46234 
4515,帔,1.46024 
4516,蓁,1.45550 
4517,杈,1.45286 
4518,熨,1.45023 
4519,挞,1.44917 
4520,觐,1.44812 
4521,開,1.44812 
4522,阗,1.44812 
4523,钏,1.44496 
4524,煊,1.44496 
4525,泫,1.44285 
4526,迳,1.43969 
4527,夔,1.43021 
4528,缮,1.43021 
4529,燧,1.42863 
4530,嘁,1.42494 
4531,孱,1.42125 
4532,懑,1.42073 
4533,邕,1.41757 
4534,彧,1.41230 
4535,柩,1.41125 
4536,耆,1.40440 
4537,漕,1.40282 
4538,鹄,1.40229 
4539,龛,1.40229 
4540,饯,1.40124 
4541,餮,1.39492 
4542,幄,1.39281 
4543,鹘,1.38859 
4544,爰,1.38701 
4545,噻,1.38491 
4546,倨,1.38438 
4547,汜,1.37859 
4548,诙,1.37542 
4549,锃,1.37490 
4550,颧,1.37384 
4551,璟,1.37121 
4552,纰,1.36858 
4553,绡,1.36805 
4554,鏖,1.36436 
4555,瞭,1.36436 
4556,氢,1.36384 
4557,颢,1.35909 
4558,楔,1.35909 
4559,藜,1.35699 
4560,郢,1.35225 
4561,妫,1.35172 
4562,栀,1.35067 
4563,岫,1.34961 
4564,谥,1.34909 
4565,骧,1.34434 
4566,犄,1.34276 
4567,葳,1.34224 
4568,辇,1.34171 
4569,珪,1.34118 
4570,魑,1.33960 
4571,璜,1.33960 
4572,聒,1.33908 
4573,椿,1.33381 
4574,谩,1.33328 
4575,伢,1.33328 
4576,琊,1.33170 
4577,骅,1.32749 
4578,鹜,1.32696 
4579,禛,1.32696 
4580,闩,1.32327 
4581,颍,1.32327 
4582,翕,1.32275 
4583,濠,1.32117 
4584,仞,1.32011 
4585,鳗,1.31959 
4586,玖,1.31853 
4587,踊,1.31801 
4588,皈,1.31748 
4589,骊,1.31748 
4590,痿,1.31748 
4591,芑,1.31537 
4592,孑,1.31168 
4593,帼,1.30852 
4594,撸,1.30852 
4595,檄,1.30852 
4596,啵,1.30800 
4597,昶,1.30800 
4598,柚,1.30168 
4599,祐,1.30115 
4600,篑,1.29483 
4601,陲,1.29377 
4602,潋,1.29219 
4603,亟,1.28587 
4604,樽,1.28587 
4605,遨,1.28271 
4606,锺,1.28271 
4607,舶,1.28166 
4608,莆,1.28166 
4609,蛀,1.28113 
4610,琨,1.27586 
4611,點,1.27007 
4612,邈,1.26902 
4613,棂,1.26375 
4614,抻,1.26111 
4615,搽,1.25901 
4616,俪,1.25321 
4617,铉,1.25163 
4618,怩,1.24952 
4619,嚯,1.24900 
4620,茁,1.24794 
4621,韭,1.24531 
4622,膘,1.24268 
4623,酩,1.24162 
4624,榔,1.24004 
4625,娩,1.23899 
4626,忸,1.23846 
4627,刎,1.23741 
4628,彿,1.23583 
4629,扪,1.23477 
4630,漳,1.23214 
4631,呶,1.23109 
4632,瑄,1.23109 
4633,仃,1.22793 
4634,呯,1.22740 
4635,佞,1.22687 
4636,饬,1.22529 
4637,裨,1.22266 
4638,壹,1.22266 
4639,黜,1.22213 
4640,巽,1.22213 
4641,鹂,1.22160 
4642,滂,1.22160 
4643,徉,1.21897 
4644,戕,1.21318 
4645,埂,1.21212 
4646,倢,1.21160 
4647,僖,1.21160 
4648,纫,1.20844 
4649,奂,1.20738 
4650,溉,1.20580 
4651,範,1.18894 
4652,猊,1.18736 
4653,胛,1.18684 
4654,卟,1.18526 
4655,锌,1.18315 
4656,遑,1.18104 
4657,跻,1.18052 
4658,珣,1.17999 
4659,妗,1.17525 
4660,蒿,1.17472 
4661,钛,1.17419 
4662,岷,1.16629 
4663,葩,1.16366 
4664,傕,1.16261 
4665,磺,1.16208 
4666,魃,1.16155 
4667,汕,1.16102 
4668,蠡,1.15892 
4669,苋,1.15786 
4670,剎,1.15418 
4671,肛,1.15418 
