 serial number,character,ferquency(pre million)
298,认,624.09253 
299,失,622.85723 
300,火,621.80683 
301,哥,619.74554 
302,士,619.35045 
303,五,616.54324 
304,惊,612.09457 
305,魔,611.23961 
306,竟,611.10265 
307,姐,610.49895 
308,乎,609.65505 
309,剑,606.69560 
310,往,602.33965 
311,量,601.81392 
312,早,599.95228 
313,结,596.72469 
314,怕,587.26581 
315,流,587.06458 
316,突,582.98466 
317,坐,582.76342 
318,斯,582.47211 
319,音,579.61748 
320,紧,579.20449 
321,指,578.93741 
322,拉,577.77112 
323,杀,577.28858 
324,半,576.87664 
325,记,576.71966 
326,且,575.67453 
327,利,574.99129 
328,合,571.97126 
329,倒,571.77898 
330,书,570.68855 
331,度,570.39039 
332,微,570.24552 
333,步,567.63216 
334,教,564.49044 
335,喜,563.64549 
336,越,563.22143 
337,影,562.16207 
338,谁,560.62124 
339,冷,560.08708 
340,深,558.80911 
341,告,555.66476 
342,落,555.39083 
343,象,548.43416 
344,容,546.96603 
345,怪,546.26383 
346,传,545.02747 
347,钱,544.86470 
348,提,540.62727 
349,言,540.47977 
350,随,535.37895 
351,每,534.69572 
352,双,532.90677 
353,服,532.84461 
354,击,532.37946 
355,武,528.43282 
356,哪,526.01384 
357,数,523.99891 
358,站,523.64017 
359,奇,517.61274 
360,房,516.39746 
361,管,515.82696 
362,灵,515.62046 
363,刻,515.09473 
364,题,514.23186 
365,衣,513.46751 
366,周,512.43976 
367,静,510.16986 
368,伤,510.11507 
369,百,507.00074 
370,拿,505.13436 
371,妈,503.86218 
372,办,503.64199 
373,星,503.42127 
374,化,501.17982 
375,功,498.13608 
376,绝,496.93343 
377,系,496.35661 
378,般,495.67390 
379,必,495.58751 
380,业,494.14729 
381,尔,493.43034 
382,件,492.66388 
383,血,491.60768 
384,代,491.34376 
385,精,491.25737 
386,弟,490.85649 
387,终,489.29353 
388,近,487.51617 
389,条,487.50353 
390,青,481.98761 
391,界,481.15898 
392,司,480.31034 
393,整,480.24923 
394,欢,478.76476 
395,字,477.58741 
396,晚,476.49012 
397,民,475.52348 
398,帮,474.96299 
399,切,474.41461 
400,即,474.15596 
401,忙,473.58862 
402,交,473.26939 
403,或,472.41021 
404,暗,469.40440 
405,夫,469.10150 
406,员,467.34310 
407,根,466.75785 
